area_type,availability,location,size,society,total_sqft,bath,balcony,price
Carpet Area,1 Year,Marathahalli,3 BHK,,1598,3.0,0.0,88.0
Plot Area,6 months,Bannerghatta Road,3 BHK,,2081,4.0,3.0,97.92
Plot Area,6 months,Hennur,3 BHK,,1884,3.0,2.0,78.65
Super built-up Area,Ready To Move,Electronic City,2 BHK,,1089,3.0,1.0,55.91
Super built-up Area,Ready To Move,Marathahalli,3 BHK,,1831,4.0,3.0,108.68
Built-up Area,Ready To Move,Tumkur Road,3 BHK,,1778,4.0,2.0,70.8
Carpet Area,1 Year,Uttarahalli,5 BHK,,2905,5.0,1.0,124.12
Carpet Area,Ready To Move,Mysore Road,4 BHK,,2444,5.0,3.0,112.15
Carpet Area,Ready To Move,Uttarahalli,3 BHK,,1753,4.0,3.0,76.93
Carpet Area,6 months,HSR Layout,3 BHK,,1841,3.0,2.0,125.27
Built-up Area,1 Year,Tumkur Road,2 BHK,,1353,2.0,3.0,47.37
Carpet Area,6 months,Sarjapur Road,4 BHK,,2793,4.0,1.0,142.31
Carpet Area,1 Year,Marathahalli,2 BHK,,1254,3.0,2.0,72.39
Plot Area,1 Year,Horamavu,2 BHK,,1363,3.0,3.0,67.89
Plot Area,6 months,Electronic City,2 BHK,,1329,3.0,1.0,69.77
Built-up Area,6 months,Uttarahalli,4 BHK,,2095,5.0,3.0,84.03
Super built-up Area,1 Year,Hosur Road,2 BHK,,1366,2.0,2.0,63.35
Plot Area,1 Year,Mysore Road,3 BHK,,1403,3.0,3.0,57.3
Super built-up Area,Ready To Move,Indiranagar,3 BHK,,1597,3.0,1.0,147.66
Built-up Area,Ready To Move,Marathahalli,1 BHK,,609,1.0,0.0,37.5
Plot Area,6 months,Kanakapura Road,2 BHK,,1163,2.0,3.0,56.75
Plot Area,1 Year,Tumkur Road,4 BHK,,2342,5.0,3.0,90.05
Built-up Area,6 months,Basaveshwara Nagar,4 BHK,,2594,5.0,1.0,166.26
Carpet Area,Ready To Move,Bellandur,2 BHK,,997,2.0,1.0,49.92
Built-up Area,Ready To Move,Marathahalli,4 BHK,,2782,5.0,2.0,135.05
Super built-up Area,Ready To Move,Electronic City,3 BHK,,1678,3.0,0.0,71.36
Super built-up Area,1 Year,Mysore Road,2 BHK,,1374,2.0,2.0,63.67
Carpet Area,6 months,Basaveshwara Nagar,3 BHK,,1637,4.0,1.0,97.72
Built-up Area,1 Year,Electronic City,5 BHK,,3002,5.0,1.0,132.64
Built-up Area,1 Year,Hosur Road,3 BHK,,1687,4.0,1.0,75.55
Carpet Area,Ready To Move,Malleswaram,2 BHK,,1237,3.0,1.0,94.1
Built-up Area,Ready To Move,Koramangala,4 BHK,,1983,5.0,2.0,175.84
Plot Area,6 months,Hosur Road,3 BHK,,1650,3.0,0.0,64.75
Built-up Area,1 Year,Kanakapura Road,2 BHK,,934,2.0,1.0,47.8
Plot Area,6 months,Vijayanagar,3 BHK,,1798,3.0,2.0,92.53
Built-up Area,6 months,Basaveshwara Nagar,3 BHK,,2072,4.0,2.0,159.59
Plot Area,6 months,Sarjapur Road,4 BHK,,1845,5.0,2.0,100.87
Super built-up Area,6 months,BTM Layout,3 BHK,,1844,3.0,2.0,117.13
Carpet Area,Ready To Move,Vijayanagar,2 BHK,,1287,3.0,2.0,68.39
Super built-up Area,6 months,Jayanagar,3 BHK,,1509,3.0,1.0,112.29
Plot Area,Ready To Move,Malleswaram,3 BHK,,1554,3.0,1.0,126.4
Carpet Area,6 months,Devanahalli,2 BHK,,1000,3.0,0.0,36.47
Super built-up Area,Ready To Move,Sadashivanagar,3 BHK,,1573,4.0,0.0,115.7
Super built-up Area,6 months,Marathahalli,4 BHK,,1910,4.0,0.0,123.12
Plot Area,1 Year,Electronic City,1 BHK,,542,1.0,0.0,26.49
Built-up Area,1 Year,Whitefield,3 BHK,,1626,3.0,3.0,107.56
Built-up Area,Ready To Move,Hebbal,2 BHK,,1303,2.0,2.0,84.62
Plot Area,Ready To Move,Vijayanagar,2 BHK,,1300,3.0,2.0,70.34
Super built-up Area,6 months,Devanahalli,2 BHK,,1298,2.0,2.0,49.68
Built-up Area,1 Year,Horamavu,2 BHK,,1183,2.0,3.0,60.87
Built-up Area,6 months,Hebbal,4 BHK,,2125,4.0,2.0,132.37
Super built-up Area,Ready To Move,Vijayanagar,2 BHK,,1105,3.0,2.0,56.42
Plot Area,6 months,Vijayanagar,3 BHK,,1588,4.0,2.0,94.19
Plot Area,1 Year,Horamavu,1 BHK,,595,2.0,2.0,23.5
Built-up Area,1 Year,Electronic City,5 BHK,,3422,5.0,2.0,188.09
Plot Area,1 Year,Hebbal,3 BHK,,1563,4.0,0.0,83.28
Super built-up Area,1 Year,HSR Layout,3 BHK,,1694,3.0,3.0,108.81
Plot Area,1 Year,Hennur,2 BHK,,1227,3.0,1.0,50.87
Carpet Area,Ready To Move,Indiranagar,2 BHK,,1322,3.0,0.0,94.35
Plot Area,6 months,Hennur,2 BHK,,1026,2.0,3.0,48.83
Plot Area,6 months,Tumkur Road,4 BHK,,2080,4.0,2.0,84.02
Plot Area,6 months,Rajajinagar,3 BHK,,2013,3.0,3.0,147.64
Carpet Area,Ready To Move,Vijayanagar,3 BHK,,1410,3.0,2.0,83.95
Super built-up Area,Ready To Move,Uttarahalli,3 BHK,,1804,3.0,2.0,68.51
Plot Area,Ready To Move,Malleswaram,2 BHK,,1330,3.0,3.0,103.49
Built-up Area,Ready To Move,Vijayanagar,3 BHK,,2041,3.0,1.0,129.54
Plot Area,6 months,Devanahalli,3 BHK,,1359,4.0,2.0,56.14
Carpet Area,1 Year,Hosur Road,3 BHK,,1627,4.0,2.0,67.78
Carpet Area,1 Year,HSR Layout,3 BHK,,1542,4.0,0.0,108.18
Built-up Area,Ready To Move,Koramangala,2 BHK,,1184,2.0,3.0,87.57
Carpet Area,6 months,Uttarahalli,2 BHK,,1216,2.0,3.0,44.71
Carpet Area,6 months,Yelahanka,4 BHK,,2799,4.0,3.0,150.14
Carpet Area,Ready To Move,Tumkur Road,3 BHK,,1734,3.0,0.0,74.1
Super built-up Area,6 months,Horamavu,2 BHK,,1175,3.0,3.0,52.91
Carpet Area,1 Year,Bannerghatta Road,4 BHK,,2214,4.0,3.0,129.59
Plot Area,Ready To Move,Indiranagar,1 BHK,,486,1.0,2.0,35.67
Built-up Area,6 months,JP Nagar,4 BHK,,2103,4.0,1.0,134.38
Plot Area,6 months,Mysore Road,5 BHK,,2558,6.0,1.0,107.83
Plot Area,6 months,Uttarahalli,4 BHK,,2601,4.0,0.0,102.71
Built-up Area,Ready To Move,Mysore Road,4 BHK,,2345,4.0,3.0,84.06
Super built-up Area,1 Year,Sarjapur Road,2 BHK,,1048,2.0,0.0,60.57
Super built-up Area,6 months,Jayanagar,2 BHK,,1144,2.0,1.0,90.75
Carpet Area,Ready To Move,Vijayanagar,3 BHK,,1514,4.0,0.0,88.62
Super built-up Area,Ready To Move,Jayanagar,2 BHK,,992,2.0,2.0,64.34
Super built-up Area,6 months,Hebbal,2 BHK,,1329,3.0,2.0,70.43
Carpet Area,Ready To Move,Hennur,3 BHK,,2058,3.0,2.0,91.45
Super built-up Area,1 Year,JP Nagar,2 BHK,,940,2.0,3.0,50.99
Super built-up Area,1 Year,Hennur,4 BHK,,2564,4.0,2.0,133.48
Carpet Area,Ready To Move,Sadashivanagar,4 BHK,,2253,4.0,0.0,204.37
Plot Area,6 months,JP Nagar,4 BHK,,2188,5.0,2.0,140.48
Plot Area,1 Year,JP Nagar,3 BHK,,1867,3.0,3.0,131.37
Built-up Area,6 months,Whitefield,4 BHK,,2066,5.0,2.0,106.72
Super built-up Area,Ready To Move,Koramangala,4 BHK,,1820,4.0,2.0,152.55
Carpet Area,1 Year,Tumkur Road,3 BHK,,1510,4.0,3.0,51.63
Carpet Area,6 months,Yelahanka,2 BHK,,992,3.0,3.0,42.64
Super built-up Area,Ready To Move,Mysore Road,4 BHK,,1834,5.0,2.0,66.1
Super built-up Area,6 months,Whitefield,4 BHK,,2121,4.0,1.0,140.86
Carpet Area,1 Year,Jayanagar,3 BHK,,1705,4.0,2.0,120.57
Carpet Area,Ready To Move,Horamavu,1 BHK,,633,2.0,0.0,24.63
Carpet Area,Ready To Move,Devanahalli,3 BHK,,1594,3.0,3.0,69.85
Built-up Area,6 months,Tumkur Road,1 BHK,,498,1.0,2.0,17.33
Plot Area,6 months,Bannerghatta Road,4 BHK,,2030,4.0,1.0,93.4
Carpet Area,Ready To Move,Vijayanagar,5 BHK,,3363,5.0,2.0,203.83
Plot Area,1 Year,Tumkur Road,2 BHK,,1002,2.0,0.0,34.36
Super built-up Area,1 Year,Rajajinagar,3 BHK,,2009,3.0,3.0,153.61
Plot Area,6 months,Malleswaram,1 BHK,,561,2.0,0.0,44.11
Plot Area,6 months,Koramangala,3 BHK,,2050,3.0,1.0,141.44
Plot Area,6 months,Bannerghatta Road,2 BHK,,1104,3.0,0.0,54.57
Super built-up Area,1 Year,Kanakapura Road,3 BHK,,1483,3.0,0.0,68.95
Plot Area,1 Year,Basaveshwara Nagar,2 BHK,,1174,3.0,3.0,75.4
Plot Area,6 months,Bannerghatta Road,2 BHK,,1193,2.0,0.0,65.04
Built-up Area,6 months,Hennur,2 BHK,,1217,3.0,1.0,62.67
Super built-up Area,Ready To Move,BTM Layout,2 BHK,,1105,2.0,1.0,73.02
Plot Area,Ready To Move,Hennur,3 BHK,,1386,3.0,3.0,69.38
Super built-up Area,Ready To Move,Tumkur Road,1 BHK,,606,2.0,1.0,25.86
Carpet Area,Ready To Move,Malleswaram,3 BHK,,2049,3.0,1.0,142.61
Plot Area,6 months,Sadashivanagar,4 BHK,,2757,4.0,1.0,212.9
Super built-up Area,1 Year,Hebbal,4 BHK,,2396,4.0,1.0,158.63
Plot Area,1 Year,Kengeri,4 BHK,,1819,5.0,1.0,69.71
Plot Area,Ready To Move,Electronic City,4 BHK,,1906,4.0,1.0,94.69
Carpet Area,1 Year,Yeshwanthpur,2 BHK,,1316,3.0,1.0,82.62
Built-up Area,Ready To Move,Whitefield,2 BHK,,1314,2.0,2.0,74.47
Super built-up Area,6 months,Malleswaram,3 BHK,,2059,3.0,1.0,140.04
Plot Area,Ready To Move,Electronic City,4 BHK,,2363,5.0,3.0,123.27
Carpet Area,1 Year,Bannerghatta Road,5 BHK,,3329,5.0,2.0,196.87
Carpet Area,1 Year,Hebbal,1 BHK,,656,2.0,1.0,34.03
Built-up Area,1 Year,Bannerghatta Road,2 BHK,,1194,2.0,1.0,65.69
Built-up Area,6 months,Brookefield,2 BHK,,1291,2.0,3.0,71.95
Carpet Area,Ready To Move,Malleswaram,3 BHK,,1444,3.0,1.0,102.5
Carpet Area,6 months,Rajajinagar,3 BHK,,1829,3.0,2.0,110.9
Super built-up Area,6 months,Whitefield,2 BHK,,1376,3.0,2.0,72.96
Super built-up Area,Ready To Move,Hebbal,3 BHK,,1471,4.0,3.0,95.39
Carpet Area,1 Year,Kengeri,3 BHK,,1908,3.0,1.0,78.11
Carpet Area,1 Year,Sadashivanagar,3 BHK,,1590,3.0,3.0,155.57
Built-up Area,1 Year,Indiranagar,1 BHK,,654,1.0,1.0,48.89
Super built-up Area,1 Year,Sadashivanagar,4 BHK,,2497,5.0,2.0,242.76
Carpet Area,6 months,Hennur,3 BHK,,2044,4.0,1.0,97.02
Super built-up Area,Ready To Move,Electronic City,4 BHK,,2511,4.0,1.0,111.1
Super built-up Area,Ready To Move,Uttarahalli,4 BHK,,2210,4.0,2.0,78.28
Carpet Area,Ready To Move,Vijayanagar,2 BHK,,905,2.0,2.0,52.56
Carpet Area,6 months,Bannerghatta Road,2 BHK,,1296,3.0,2.0,76.94
Plot Area,1 Year,Devanahalli,3 BHK,,1656,4.0,1.0,76.05
Super built-up Area,1 Year,Bellandur,2 BHK,,1235,2.0,3.0,75.62
Super built-up Area,Ready To Move,HSR Layout,4 BHK,,1905,4.0,2.0,119.8
Built-up Area,1 Year,Rajajinagar,3 BHK,,2018,3.0,1.0,120.21
Built-up Area,6 months,Uttarahalli,4 BHK,,2235,4.0,3.0,75.24
Built-up Area,1 Year,BTM Layout,2 BHK,,1359,3.0,0.0,72.7
Super built-up Area,1 Year,Kengeri,2 BHK,,1253,2.0,0.0,54.8
Carpet Area,1 Year,Marathahalli,3 BHK,,1441,4.0,1.0,90.67
Carpet Area,Ready To Move,Kengeri,1 BHK,,594,1.0,1.0,22.18
Carpet Area,6 months,Tumkur Road,3 BHK,,2032,3.0,2.0,84.6
Super built-up Area,Ready To Move,Kengeri,4 BHK,,2599,5.0,1.0,95.75
Carpet Area,6 months,Rajajinagar,2 BHK,,1108,2.0,3.0,69.16
Built-up Area,Ready To Move,Devanahalli,3 BHK,,2066,4.0,1.0,81.01
Carpet Area,6 months,Electronic City,2 BHK,,1034,2.0,3.0,44.3
Carpet Area,6 months,Electronic City,2 BHK,,1087,2.0,3.0,48.87
Built-up Area,Ready To Move,Hosur Road,5 BHK,,3187,6.0,2.0,137.97
Plot Area,Ready To Move,Basaveshwara Nagar,5 BHK,,2541,5.0,3.0,166.65
Plot Area,1 Year,Bannerghatta Road,3 BHK,,1736,3.0,1.0,88.39
Plot Area,6 months,Jayanagar,4 BHK,,2528,5.0,3.0,182.82
Super built-up Area,6 months,Sarjapur Road,3 BHK,,1832,3.0,0.0,95.31
Super built-up Area,6 months,BTM Layout,2 BHK,,977,2.0,3.0,67.73
Built-up Area,6 months,Yelahanka,2 BHK,,1214,3.0,1.0,65.63
Plot Area,6 months,Tumkur Road,4 BHK,,2372,4.0,2.0,102.46
Super built-up Area,1 Year,Hennur,2 BHK,,1178,2.0,1.0,56.62
Carpet Area,1 Year,Bannerghatta Road,3 BHK,,1969,3.0,1.0,112.01
Plot Area,1 Year,Bannerghatta Road,3 BHK,,1487,3.0,1.0,72.27
Plot Area,6 months,Brookefield,3 BHK,,1913,4.0,0.0,115.77
Super built-up Area,Ready To Move,JP Nagar,3 BHK,,1920,3.0,2.0,111.38
Plot Area,Ready To Move,Koramangala,2 BHK,,1261,2.0,0.0,88.75
Built-up Area,6 months,BTM Layout,2 BHK,,1152,2.0,3.0,60.37
Built-up Area,1 Year,Horamavu,3 BHK,,1646,3.0,3.0,73.45
Super built-up Area,Ready To Move,Indiranagar,3 BHK,,1646,4.0,0.0,124.8
Plot Area,Ready To Move,Hennur,3 BHK,,1900,3.0,2.0,102.88
Built-up Area,1 Year,HSR Layout,3 BHK,,1723,4.0,3.0,111.16
Plot Area,6 months,Hosur Road,2 BHK,,1069,2.0,2.0,53.39
Built-up Area,6 months,HSR Layout,4 BHK,,2425,5.0,0.0,159.83
Built-up Area,6 months,Bellandur,3 BHK,,1977,3.0,3.0,124.3
Plot Area,6 months,JP Nagar,2 BHK,,930,2.0,0.0,61.4
Super built-up Area,6 months,JP Nagar,3 BHK,,2079,4.0,3.0,133.4
Super built-up Area,Ready To Move,Brookefield,4 BHK,,1896,4.0,1.0,103.99
Super built-up Area,1 Year,Devanahalli,4 BHK,,2311,4.0,2.0,103.87
Plot Area,Ready To Move,Malleswaram,2 BHK,,1180,2.0,0.0,87.76
Plot Area,Ready To Move,Hosur Road,3 BHK,,1453,3.0,1.0,66.33
Plot Area,Ready To Move,Horamavu,1 BHK,,678,2.0,0.0,31.33
Super built-up Area,1 Year,Jayanagar,1 BHK,,567,1.0,0.0,37.97
Plot Area,Ready To Move,Vijayanagar,3 BHK,,1457,4.0,2.0,78.02
Super built-up Area,Ready To Move,HSR Layout,3 BHK,,1883,3.0,0.0,112.35
Built-up Area,6 months,Yeshwanthpur,3 BHK,,1847,4.0,2.0,119.46
Super built-up Area,1 Year,Kanakapura Road,2 BHK,,1381,2.0,0.0,66.92
Super built-up Area,6 months,Bannerghatta Road,1 BHK,,560,2.0,3.0,27.37
Carpet Area,6 months,Koramangala,3 BHK,,1550,3.0,1.0,117.01
Carpet Area,Ready To Move,Basaveshwara Nagar,1 BHK,,464,1.0,3.0,30.58
Super built-up Area,6 months,Hebbal,1 BHK,,633,2.0,2.0,36.54
Carpet Area,Ready To Move,Vijayanagar,2 BHK,,1208,2.0,2.0,74.03
Plot Area,6 months,Yelahanka,2 BHK,,1386,2.0,1.0,73.25
Carpet Area,1 Year,Tumkur Road,2 BHK,,1256,3.0,2.0,51.89
Carpet Area,1 Year,Koramangala,3 BHK,,2049,3.0,3.0,180.92
Carpet Area,6 months,Rajajinagar,1 BHK,,697,1.0,1.0,48.39
Super built-up Area,Ready To Move,Jayanagar,2 BHK,,1114,2.0,2.0,82.96
Built-up Area,Ready To Move,BTM Layout,3 BHK,,1462,4.0,2.0,94.73
Built-up Area,Ready To Move,Hennur,2 BHK,,997,2.0,2.0,49.67
Built-up Area,6 months,Bannerghatta Road,3 BHK,,1588,4.0,2.0,95.27
Built-up Area,Ready To Move,Horamavu,1 BHK,,577,2.0,0.0,28.07
Built-up Area,6 months,Malleswaram,2 BHK,,961,3.0,0.0,65.15
Built-up Area,1 Year,JP Nagar,2 BHK,,1050,2.0,0.0,74.65
Super built-up Area,Ready To Move,Brookefield,2 BHK,,1053,3.0,2.0,62.48
Plot Area,6 months,Bannerghatta Road,3 BHK,,1353,3.0,0.0,64.89
Plot Area,Ready To Move,Kanakapura Road,4 BHK,,2154,5.0,2.0,104.84
Built-up Area,6 months,Bellandur,1 BHK,,479,1.0,3.0,26.83
Carpet Area,Ready To Move,Tumkur Road,2 BHK,,1114,3.0,2.0,46.52
Carpet Area,1 Year,Devanahalli,3 BHK,,1497,3.0,1.0,72.74
Super built-up Area,6 months,Brookefield,3 BHK,,1966,3.0,1.0,102.47
Built-up Area,6 months,Horamavu,4 BHK,,1880,4.0,1.0,93.67
Built-up Area,1 Year,Basaveshwara Nagar,2 BHK,,1332,2.0,2.0,97.29
Carpet Area,1 Year,Uttarahalli,5 BHK,,2975,5.0,1.0,123.86
Built-up Area,Ready To Move,Hosur Road,2 BHK,,1129,2.0,1.0,49.05
Built-up Area,6 months,Uttarahalli,2 BHK,,1174,2.0,2.0,41.05
Carpet Area,6 months,Vijayanagar,4 BHK,,2176,5.0,2.0,121.81
Plot Area,Ready To Move,Yeshwanthpur,3 BHK,,1445,3.0,0.0,74.53
Plot Area,Ready To Move,Kengeri,3 BHK,,1924,3.0,2.0,77.93
Super built-up Area,6 months,Bellandur,3 BHK,,2045,4.0,0.0,131.13
Carpet Area,1 Year,Hennur,3 BHK,,2062,4.0,2.0,111.97
Super built-up Area,Ready To Move,Sadashivanagar,2 BHK,,1235,2.0,3.0,96.03
Built-up Area,6 months,Vijayanagar,3 BHK,,1657,3.0,1.0,85.04
Carpet Area,Ready To Move,Indiranagar,2 BHK,,1139,2.0,3.0,100.86
Plot Area,1 Year,Devanahalli,4 BHK,,2456,5.0,2.0,104.02
Built-up Area,6 months,Hosur Road,5 BHK,,3278,6.0,3.0,165.91
Plot Area,6 months,Malleswaram,2 BHK,,1087,3.0,0.0,89.87
Plot Area,6 months,Marathahalli,2 BHK,,1358,2.0,2.0,81.81
Super built-up Area,1 Year,Hennur,1 BHK,,531,2.0,2.0,22.09
Carpet Area,Ready To Move,Yeshwanthpur,1 BHK,,582,1.0,3.0,29.31
Carpet Area,1 Year,JP Nagar,4 BHK,,2761,4.0,1.0,164.38
Carpet Area,1 Year,BTM Layout,2 BHK,,1369,2.0,2.0,76.11
Super built-up Area,1 Year,Horamavu,2 BHK,,1247,2.0,1.0,59.69
Plot Area,6 months,Vijayanagar,4 BHK,,2124,5.0,3.0,117.71
Super built-up Area,1 Year,Hebbal,4 BHK,,2019,5.0,3.0,123.51
Carpet Area,6 months,Hosur Road,3 BHK,,1410,4.0,3.0,69.42
Built-up Area,6 months,Vijayanagar,3 BHK,,1881,3.0,0.0,105.12
Carpet Area,Ready To Move,Hosur Road,3 BHK,,1727,4.0,2.0,78.76
Carpet Area,Ready To Move,Bannerghatta Road,5 BHK,,2965,6.0,3.0,176.55
Plot Area,1 Year,Bellandur,3 BHK,,1704,3.0,3.0,97.63
Carpet Area,6 months,Bannerghatta Road,3 BHK,,1712,4.0,0.0,80.89
Carpet Area,6 months,Bellandur,1 BHK,,592,2.0,2.0,34.86
Plot Area,Ready To Move,Marathahalli,1 BHK,,678,1.0,1.0,39.05
Carpet Area,6 months,Malleswaram,3 BHK,,1372,4.0,2.0,105.33
Carpet Area,1 Year,Yeshwanthpur,4 BHK,,2601,5.0,3.0,141.11
Plot Area,6 months,Rajajinagar,4 BHK,,2190,5.0,1.0,135.57
Built-up Area,1 Year,Basaveshwara Nagar,5 BHK,,3181,6.0,0.0,206.33
Plot Area,Ready To Move,Basaveshwara Nagar,3 BHK,,2061,3.0,0.0,125.19
Carpet Area,Ready To Move,Rajajinagar,3 BHK,,1579,4.0,3.0,111.89
Super built-up Area,6 months,Brookefield,4 BHK,,1889,5.0,1.0,109.91
Built-up Area,6 months,Basaveshwara Nagar,3 BHK,,1524,3.0,2.0,106.96
Plot Area,Ready To Move,Tumkur Road,2 BHK,,1011,2.0,3.0,35.48
Built-up Area,1 Year,Mysore Road,3 BHK,,1906,4.0,1.0,71.32
Built-up Area,1 Year,Hebbal,4 BHK,,1861,4.0,1.0,122.8
Super built-up Area,1 Year,Horamavu,2 BHK,,925,3.0,1.0,44.0
Super built-up Area,Ready To Move,Koramangala,4 BHK,,2493,5.0,1.0,218.42
Super built-up Area,Ready To Move,Mysore Road,2 BHK,,1178,2.0,0.0,46.33
Carpet Area,Ready To Move,Vijayanagar,3 BHK,,1663,3.0,1.0,94.87
Plot Area,6 months,BTM Layout,3 BHK,,1781,3.0,1.0,115.95
Carpet Area,Ready To Move,Uttarahalli,3 BHK,,1901,3.0,3.0,85.99
Plot Area,1 Year,Kanakapura Road,2 BHK,,951,3.0,0.0,49.08
Carpet Area,1 Year,Horamavu,4 BHK,,2353,4.0,0.0,121.74
Carpet Area,Ready To Move,BTM Layout,3 BHK,,1968,3.0,0.0,133.56
Super built-up Area,Ready To Move,Kengeri,2 BHK,,1081,3.0,2.0,45.61
Carpet Area,1 Year,Malleswaram,3 BHK,,1922,4.0,2.0,125.29
Super built-up Area,Ready To Move,Sadashivanagar,2 BHK,,1322,2.0,0.0,119.8
Plot Area,6 months,Yeshwanthpur,2 BHK,,1310,3.0,3.0,70.63
Super built-up Area,Ready To Move,Hebbal,2 BHK,,1225,2.0,1.0,64.53
Built-up Area,1 Year,Basaveshwara Nagar,4 BHK,,2517,5.0,1.0,179.95
Built-up Area,1 Year,Rajajinagar,3 BHK,,1940,3.0,0.0,141.01
Carpet Area,Ready To Move,Electronic City,3 BHK,,1900,3.0,0.0,98.55
Built-up Area,1 Year,Mysore Road,2 BHK,,1125,3.0,2.0,43.72
Plot Area,Ready To Move,Whitefield,2 BHK,,979,2.0,0.0,57.46
Carpet Area,1 Year,Sadashivanagar,5 BHK,,2637,5.0,2.0,254.88
Super built-up Area,1 Year,Indiranagar,3 BHK,,1505,4.0,0.0,130.3
Carpet Area,1 Year,Basaveshwara Nagar,4 BHK,,2161,5.0,1.0,146.07
Carpet Area,Ready To Move,Kengeri,2 BHK,,1144,2.0,0.0,47.63
Built-up Area,Ready To Move,Malleswaram,2 BHK,,1379,3.0,1.0,119.03
Carpet Area,Ready To Move,Mysore Road,4 BHK,,2759,5.0,0.0,108.18
Plot Area,6 months,Hosur Road,3 BHK,,1927,4.0,2.0,76.36
Carpet Area,6 months,Marathahalli,2 BHK,,1390,2.0,0.0,74.1
Super built-up Area,6 months,Yeshwanthpur,2 BHK,,1399,3.0,3.0,79.76
Super built-up Area,1 Year,BTM Layout,4 BHK,,2685,5.0,1.0,152.0
Built-up Area,1 Year,Brookefield,3 BHK,,1409,4.0,1.0,79.95
Carpet Area,Ready To Move,Electronic City,3 BHK,,1669,3.0,1.0,77.78
Super built-up Area,1 Year,BTM Layout,2 BHK,,1167,3.0,0.0,62.46
Carpet Area,6 months,Bannerghatta Road,2 BHK,,962,2.0,3.0,47.09
Carpet Area,6 months,Jayanagar,5 BHK,,3260,6.0,3.0,264.16
Super built-up Area,Ready To Move,Devanahalli,2 BHK,,974,3.0,2.0,43.26
Carpet Area,1 Year,Yelahanka,3 BHK,,1637,3.0,2.0,76.52
Built-up Area,1 Year,Bannerghatta Road,4 BHK,,1868,4.0,2.0,96.84
Built-up Area,6 months,Whitefield,2 BHK,,1162,2.0,3.0,67.84
Super built-up Area,Ready To Move,Yeshwanthpur,2 BHK,,1198,3.0,1.0,73.72
Plot Area,6 months,Electronic City,3 BHK,,1901,3.0,1.0,96.42
Plot Area,1 Year,Indiranagar,3 BHK,,1604,4.0,2.0,146.79
Carpet Area,6 months,Whitefield,3 BHK,,1792,4.0,2.0,108.79
Built-up Area,6 months,HSR Layout,2 BHK,,1267,3.0,0.0,99.26
Super built-up Area,1 Year,Bannerghatta Road,3 BHK,,1921,4.0,0.0,88.34
Built-up Area,1 Year,Indiranagar,3 BHK,,1576,3.0,3.0,142.61
Plot Area,1 Year,Jayanagar,3 BHK,,1400,4.0,0.0,107.5
Plot Area,6 months,Koramangala,1 BHK,,459,1.0,2.0,32.59
Carpet Area,6 months,Rajajinagar,3 BHK,,1926,3.0,2.0,120.76
Super built-up Area,6 months,Brookefield,5 BHK,,2731,5.0,2.0,155.59
Carpet Area,Ready To Move,Jayanagar,3 BHK,,1450,4.0,1.0,92.65
Built-up Area,Ready To Move,Vijayanagar,3 BHK,,1488,4.0,2.0,90.87
Built-up Area,1 Year,Bellandur,3 BHK,,1924,3.0,0.0,122.39
Plot Area,Ready To Move,Marathahalli,4 BHK,,2398,5.0,3.0,126.83
Carpet Area,1 Year,Kanakapura Road,4 BHK,,2301,5.0,0.0,90.18
Built-up Area,6 months,Kanakapura Road,2 BHK,,1211,2.0,1.0,62.49
Built-up Area,1 Year,Koramangala,2 BHK,,968,3.0,0.0,70.53
Built-up Area,6 months,JP Nagar,2 BHK,,1059,2.0,0.0,58.06
Super built-up Area,1 Year,Yelahanka,2 BHK,,1087,2.0,1.0,51.06
Plot Area,Ready To Move,Hebbal,2 BHK,,1057,3.0,0.0,73.25
Carpet Area,6 months,JP Nagar,4 BHK,,2664,4.0,1.0,182.58
Built-up Area,6 months,Uttarahalli,1 BHK,,595,1.0,0.0,23.42
Super built-up Area,6 months,HSR Layout,3 BHK,,1896,4.0,1.0,124.52
Built-up Area,Ready To Move,Basaveshwara Nagar,3 BHK,,1527,4.0,3.0,100.7
Built-up Area,Ready To Move,Jayanagar,2 BHK,,1032,3.0,3.0,63.55
Plot Area,Ready To Move,Devanahalli,4 BHK,,2025,4.0,1.0,92.24
Super built-up Area,6 months,Devanahalli,4 BHK,,2487,4.0,2.0,93.55
Built-up Area,1 Year,Basaveshwara Nagar,3 BHK,,1611,4.0,1.0,109.36
Plot Area,1 Year,Yeshwanthpur,2 BHK,,1102,2.0,0.0,65.74
Super built-up Area,Ready To Move,Hennur,2 BHK,,1254,2.0,2.0,50.39
Built-up Area,1 Year,Bellandur,3 BHK,,2078,3.0,2.0,139.06
Carpet Area,6 months,Bellandur,2 BHK,,980,3.0,2.0,53.93
Plot Area,6 months,Brookefield,3 BHK,,1397,3.0,1.0,68.61
Built-up Area,Ready To Move,Koramangala,4 BHK,,1994,4.0,1.0,173.72
Built-up Area,Ready To Move,Vijayanagar,2 BHK,,1267,2.0,2.0,63.83
Super built-up Area,1 Year,Brookefield,4 BHK,,1994,4.0,1.0,96.18
Carpet Area,1 Year,Uttarahalli,1 BHK,,596,1.0,3.0,23.56
Plot Area,1 Year,Rajajinagar,4 BHK,,2390,4.0,0.0,143.41
Super built-up Area,Ready To Move,Yelahanka,2 BHK,,1047,2.0,0.0,59.33
Built-up Area,Ready To Move,Kengeri,3 BHK,,1401,3.0,0.0,48.41
